com_id,com_nam,lin_ima,spo_nam,aff_com_nam,tot_rec,tot_dis,cas_on_han,cov_end_dat
"C00523670","DEL PAC","http://docquery.fec.gov/cgi-bin/fecimg/?C00523670","","JOHN CARNEY","$40,515.00","$49,133.90","$25,041.50","2015-12-31"
"C00565226","DEMOCRATS MAKING PROGRESS PAC DMP JR PAC","http://docquery.fec.gov/cgi-bin/fecimg/?C00565226","","",,,,""
"C00423079","DEMOCRATS RESHAPING AMERICA (DREAMPAC)","http://docquery.fec.gov/cgi-bin/fecimg/?C00423079","SANCHEZ, LINDA","SANCHEZ","$129,015.20","$96,924.10","$32,613.01","2015-12-31"
"C00450577","DEMOCRATS TIME IN NEVADA","http://docquery.fec.gov/cgi-bin/fecimg/?C00450577","TITUS, DINA","TITUS","$17,500.00","$15,670.70","$17,422.48","2015-12-31"
"C00425470","DEMOCRATS WIN SEATS (DWS PAC)","http://docquery.fec.gov/cgi-bin/fecimg/?C00425470","WASSERMAN SCHULTZ, DEBBIE","WASSERMAN SCHULTZ","$763,950.70","$955,743.00","$99,795.06","2016-02-29"
"C00438291","DENALI LEADERSHIP PAC","http://docquery.fec.gov/cgi-bin/fecimg/?C00438291","","MURKOWSKI VICTORY 2016","$271,595.20","$279,595.20","$37,888.78","2016-02-29"
"C00391797","DIRIGO PAC","http://docquery.fec.gov/cgi-bin/fecimg/?C00391797","","SENATOR SUSAN M. COLLINS","$189,003.60","$216,412.30","$38,401.17","2016-02-29"
"C00396721","DOC PAC","http://docquery.fec.gov/cgi-bin/fecimg/?C00396721","GINGREY, J PHILLIP","GINGREY",,"$787.60",,"2015-12-31"
"C00569871","DOING RIGHT - RESULTS ACTION UNITY LEADERSHIP PAC DR RAUL PAC","http://docquery.fec.gov/cgi-bin/fecimg/?C00569871","","DR RAUL RUIZ","$19,600.00","$20,268.60","$2,399.78","2015-12-31"
"C00531756","DOUGLASPAC-DOING OUR UTMOST FOR GOD LIBERTY AND SECURITY","http://docquery.fec.gov/cgi-bin/fecimg/?C00531756","","DOUGLAS LAMBORN","$5,000.00","$10,767.80","$29,939.57","2015-12-31"
"C00594101","DULLESPAC","http://docquery.fec.gov/cgi-bin/fecimg/?C00594101","","MR.  JULIEN  MODICA","$1,000.00","$249.00","$751.00","2015-12-31"
"C00570945","E-PAC","http://docquery.fec.gov/cgi-bin/fecimg/?C00570945","","ELISE M STEFANIK","$29,050.00","$28,729.80","$8,820.23","2016-02-29"
"C00572123","EAGLE PAC","http://docquery.fec.gov/cgi-bin/fecimg/?C00572123","","ROBERT DOLD","$90,944.60","$32,081.90","$58,862.74","2016-02-29"
"C00467837","EDPAC","http://docquery.fec.gov/cgi-bin/fecimg/?C00467837","PERLMUTTER, ED","PERLMUTTER","$101,000.00","$99,779.00","$20,068.78","2015-12-31"
"C00571430","EFFECTIVE LEADERSHIP ENHANCING COMMUNITIES TODAY - ELECT PAC","http://docquery.fec.gov/cgi-bin/fecimg/?C00571430","","ELIZABETH ESTY","$20,000.00",,"$20,000.00","2016-02-29"
"C00592089","ELECTING MAJORITY MAKING EFFECTIVE REPUBLICANS (EMMER PAC)","http://docquery.fec.gov/cgi-bin/fecimg/?C00592089","","",,,,"2015-12-31"
"C00477067","EMPIRE POLITICAL ACTION COMMITTEE","http://docquery.fec.gov/cgi-bin/fecimg/?C00477067","","KIRSTEN E. GILLIBRAND","$129,500.00","$236,365.10","$64,929.52","2016-02-29"
"C00426122","EMPOWERING EACH COMMUNITY PAC","http://docquery.fec.gov/cgi-bin/fecimg/?C00426122","","CONGRESSMAN ELIJAH CUMMINGS","$31,000.00","$11,170.10","$24,718.00","2015-12-31"
"C00390161","EUREKA POLITICAL ACTION COMMITTEE","http://docquery.fec.gov/cgi-bin/fecimg/?C00390161","CALVERT, KEN","CALVERT","$69,250.00","$86,856.10","$6,295.83","2016-02-29"
"C00576090","EVERGREEN PAC","http://docquery.fec.gov/cgi-bin/fecimg/?C00576090","","REP.  SUZAN  DELBENE","$13,020.00","$1,226.10","$11,793.86","2015-12-31"
"C00509174","EVERYBODY COUNTS EVERYBODY MATTERS PAC","http://docquery.fec.gov/cgi-bin/fecimg/?C00509174","","KEITH ELLISON",,"$170.00","$392.81","2015-12-31"
"C00541078","EXCELSIOR PAC","http://docquery.fec.gov/cgi-bin/fecimg/?C00541078","REED, THOMAS","REED","$82,626.40","$75,607.30","$49,749.71","2016-02-29"
"C00574970","FAIR SHOT PAC","http://docquery.fec.gov/cgi-bin/fecimg/?C00574970","","KATHERINE  CLARK","$42,000.00","$22,747.50","$19,252.50","2015-12-31"
"C00540955","FEARLESS PAC","http://docquery.fec.gov/cgi-bin/fecimg/?C00540955","JARED POLIS, JARED","JARED POLIS","$297,005.50","$258,974.70","$86,541.59","2015-12-31"
"C00520841","FIGHTIN' NINTH POLITICAL ACTION COMMITTEE","http://docquery.fec.gov/cgi-bin/fecimg/?C00520841","","H MORGAN GRIFFITH","$30,500.00","$29,991.30","$13,592.08","2015-12-31"
"C00528075","FIRST CAPITAL PAC","http://docquery.fec.gov/cgi-bin/fecimg/?C00528075","PERRY, SCOTT","PERRY","$1.00",,"$1,315.72","2015-12-31"
"C00540146","FIRST IN FREEDOM PAC","http://docquery.fec.gov/cgi-bin/fecimg/?C00540146","HUDSON, RICHARD","HUDSON","$99,947.80","$95,835.50","$47,205.53","2016-02-29"
